,county,jurisdiction,state
0,ALLEN COUNTY,ALLEN,INDIANA
1,ALLEGHENY COUNTY,ALLEGHENY,PENNSYLVANIA
2,PHILADELPHIA COUNTY,PHILADELPHIA,PENNSYLVANIA
3,LOS ANGELES COUNTY,LOS ANGELES,CALIFORNIA
4,CALLAHAN COUNTY,CALLAHAN,TEXAS
5,ORANGE COUNTY,ORANGE,CALIFORNIA
6,BUTTE COUNTY,BUTTE,CALIFORNIA
7,SAN MATEO COUNTY,SAN MATEO,CALIFORNIA
8,PAWNEE COUNTY,PAWNEE,OKLAHOMA
9,SANTA CLARA COUNTY,SANTA CLARA,CALIFORNIA
11,COLLIER COUNTY,COLLIER,FLORIDA
12,HILLSBOROUGH COUNTY,HILLSBOROUGH,FLORIDA
13,MINGO COUNTY,MINGO,WEST VIRGINIA
14,MIAMI-DADE COUNTY,MIAMI-DADE,FLORIDA
15,SACRAMENTO COUNTY,SACRAMENTO,CALIFORNIA
16,NORTHAMPTON COUNTY,NORTHAMPTON,PENNSYLVANIA
17,CAMBRIA COUNTY,CAMBRIA,PENNSYLVANIA
18,CENTRE COUNTY,CENTRE,PENNSYLVANIA
19,SHASTA COUNTY,SHASTA,CALIFORNIA
20,VENANGO COUNTY,VENANGO,PENNSYLVANIA
21,VENTURA COUNTY,VENTURA,CALIFORNIA
22,SOLANO COUNTY,SOLANO,CALIFORNIA
23,RIVERSIDE COUNTY,RIVERSIDE,CALIFORNIA
24,TULARE COUNTY,TULARE,CALIFORNIA
25,CABELL COUNTY,CABELL,WEST VIRGINIA
26,PARK COUNTY,PARK,MONTANA
27,APPLING COUNTY,APPLING,GEORGIA
28,BAKER COUNTY,BAKER,FLORIDA
29,EFFINGHAM COUNTY,EFFINGHAM,GEORGIA
30,GILCHRIST COUNTY,GILCHRIST,FLORIDA
31,LOGAN COUNTY,LOGAN,WEST VIRGINIA
32,WHITFIELD COUNTY,WHITFIELD,GEORGIA
33,UNION COUNTY,UNION,FLORIDA
34,PUTNAM COUNTY,PUTNAM,TENNESSEE
35,WEAKLEY COUNTY,WEAKLEY,TENNESSEE
36,CLARKE COUNTY,CLARKE,GEORGIA
37,MONTGOMERY COUNTY,MONTGOMERY,TENNESSEE
38,GILES COUNTY,GILES,TENNESSEE
39,PAMLICO COUNTY,PAMLICO,NORTH CAROLINA
40,HUMBOLDT COUNTY,HUMBOLDT,CALIFORNIA
41,SULLIVAN COUNTY,SULLIVAN,TENNESSEE
42,BOONE COUNTY,BOONE,MISSOURI
43,ADAIR COUNTY,ADAIR,IOWA
44,HANCOCK COUNTY,HANCOCK,TENNESSEE
45,MARION COUNTY,MARION,MISSOURI
46,ALACHUA COUNTY,ALACHUA,FLORIDA
48,BARBOUR COUNTY,BARBOUR,WEST VIRGINIA
49,BARNSTABLE COUNTY,BARNSTABLE,MASSACHUSETTS
50,BARNSTABLE COUNTY,BOURNE,MASSACHUSETTS
51,BARNSTABLE COUNTY,FALMOUTH,MASSACHUSETTS
52,BARNSTABLE COUNTY,SANDWICH,MASSACHUSETTS
53,BARNSTABLE COUNTY,YARMOUTH,MASSACHUSETTS
54,BAY COUNTY,BAY,FLORIDA
55,BERKELEY COUNTY,BERKELEY,WEST VIRGINIA
56,BONNEVILLE COUNTY,BONNEVILLE,IDAHO
57,BRADFORD COUNTY,BRADFORD,FLORIDA
58,BRAXTON COUNTY,BRAXTON,WEST VIRGINIA
59,BRISTOL COUNTY,DARTMOUTH,MASSACHUSETTS
60,BRISTOL COUNTY,EASTON,MASSACHUSETTS
61,BRISTOL COUNTY,FAIRHAVEN,MASSACHUSETTS
62,BRISTOL COUNTY,MANSFIELD,MASSACHUSETTS
63,BRISTOL COUNTY,N. ATTLEBOROUGH,MASSACHUSETTS
64,BROOKE COUNTY,BROOKE,WEST VIRGINIA
66,CALHOUN COUNTY,CALHOUN,WEST VIRGINIA
69,CHARLOTTE COUNTY,CHARLOTTE,FLORIDA
70,CHATHAM COUNTY,CHATHAM,NORTH CAROLINA
71,CHOWAN COUNTY,CHOWAN,NORTH CAROLINA
76,DEL NORTE COUNTY,DEL NORTE,CALIFORNIA
77,DESOTO COUNTY,DESOTO,FLORIDA
80,DISTRICT OF COLUMBIA,WARD 2,DISTRICT OF COLUMBIA
81,DIXIE COUNTY,DIXIE,FLORIDA
82,DODDRIDGE COUNTY,DODDRIDGE,WEST VIRGINIA
84,ESCAMBIA COUNTY,ESCAMBIA,FLORIDA
85,ESSEX COUNTY,AMESBURY,MASSACHUSETTS
86,ESSEX COUNTY,ANDOVER,MASSACHUSETTS
87,ESSEX COUNTY,DANVERS,MASSACHUSETTS
88,ESSEX COUNTY,MARBLEHEAD,MASSACHUSETTS
89,ESSEX COUNTY,METHUEN,MASSACHUSETTS
90,ESSEX COUNTY,N. ANDOVER,MASSACHUSETTS
91,ESSEX COUNTY,SAUGUS,MASSACHUSETTS
92,ESSEX COUNTY,SWAMPSCOTT,MASSACHUSETTS
94,FRANKLIN COUNTY,FRANKLIN,FLORIDA
95,FRANKLIN COUNTY,GREENFIELD,MASSACHUSETTS
96,FRANKLIN COUNTY,MONTAGUE,MASSACHUSETTS
97,FREMONT COUNTY,FREMONT,IDAHO
98,FRESNO COUNTY,FRESNO,CALIFORNIA
99,GADSDEN COUNTY,GADSDEN,FLORIDA
100,GILLIAM COUNTY,GILLIAM,OREGON
101,GILMER COUNTY,GILMER,WEST VIRGINIA
102,GLADES COUNTY,GLADES,FLORIDA
103,GLENN COUNTY,GLENN,CALIFORNIA
104,GRANT COUNTY,GRANT,WEST VIRGINIA
105,GULF COUNTY,GULF,FLORIDA
106,HAMILTON COUNTY,HAMILTON,FLORIDA
107,HAMPDEN COUNTY,AGAWAM,MASSACHUSETTS
108,HAMPDEN COUNTY,LUDLOW,MASSACHUSETTS
109,HAMPDEN COUNTY,W. SPRINGFIELD,MASSACHUSETTS
110,HAMPSHIRE COUNTY,AMHERST,MASSACHUSETTS
111,HAMPSHIRE COUNTY,HAMPSHIRE,WEST VIRGINIA
112,HANCOCK COUNTY,HANCOCK,WEST VIRGINIA
115,HARDY COUNTY,HARDY,WEST VIRGINIA
116,HARRISON COUNTY,HARRISON,INDIANA
117,HARRISON COUNTY,HARRISON,WEST VIRGINIA
118,HENDRY COUNTY,HENDRY,FLORIDA
119,HERNANDO COUNTY,HERNANDO,FLORIDA
120,HIGHLANDS COUNTY,HIGHLANDS,FLORIDA
121,HOLMES COUNTY,HOLMES,FLORIDA
122,HOOD RIVER COUNTY,HOOD RIVER,OREGON
124,INDIAN RIVER COUNTY,INDIAN RIVER,FLORIDA
125,JACKSON COUNTY,JACKSON,FLORIDA
127,JACKSON COUNTY,JACKSON,WEST VIRGINIA
128,JEFFERSON COUNTY,JEFFERSON COUNTY,ARKANSAS
129,JEFFERSON COUNTY,JEFFERSON,FLORIDA
130,JEFFERSON COUNTY,JEFFERSON,WEST VIRGINIA
131,KOOTENAI COUNTY,KOOTENAI,IDAHO
132,LAKE COUNTY,LAKE,FLORIDA
133,LAKE COUNTY,LAKE,OREGON
135,LEE COUNTY,LEE,FLORIDA
136,LEVY COUNTY,LEVY,FLORIDA
137,LEWIS COUNTY,LEWIS,WEST VIRGINIA
138,LIBERTY COUNTY,LIBERTY,FLORIDA
139,LINCOLN COUNTY,LINCOLN,WEST VIRGINIA
141,MADISON COUNTY,MADISON,FLORIDA
142,MARION COUNTY,MARION,FLORIDA
143,MARION COUNTY,MARION,WEST VIRGINIA
144,MARSHALL COUNTY,MARSHALL,WEST VIRGINIA
145,MARTIN COUNTY,MARTIN,FLORIDA
146,MASON COUNTY,MASON,WEST VIRGINIA
148,MCDOWELL COUNTY,MCDOWELL,WEST VIRGINIA
151,MIDDLESEX COUNTY,ACTON,MASSACHUSETTS
152,MIDDLESEX COUNTY,ARLINGTON,MASSACHUSETTS
153,MIDDLESEX COUNTY,BELMONT,MASSACHUSETTS
154,MIDDLESEX COUNTY,BILLERICA,MASSACHUSETTS
155,MIDDLESEX COUNTY,BURLINGTON,MASSACHUSETTS
156,MIDDLESEX COUNTY,CHELMSFORD,MASSACHUSETTS
157,MIDDLESEX COUNTY,DRACUT,MASSACHUSETTS
158,MIDDLESEX COUNTY,FRAMINGHAM,MASSACHUSETTS
159,MIDDLESEX COUNTY,HUDSON,MASSACHUSETTS
160,MIDDLESEX COUNTY,LEXINGTON,MASSACHUSETTS
161,MIDDLESEX COUNTY,NATICK,MASSACHUSETTS
162,MIDDLESEX COUNTY,READING,MASSACHUSETTS
163,MIDDLESEX COUNTY,STONEHAM,MASSACHUSETTS
164,MIDDLESEX COUNTY,WAKEFIELD,MASSACHUSETTS
165,MIDDLESEX COUNTY,WATERTOWN,MASSACHUSETTS
166,MIDDLESEX COUNTY,WESTFORD,MASSACHUSETTS
167,MIDDLESEX COUNTY,WILMINGTON,MASSACHUSETTS
168,MIDDLESEX COUNTY,WINCHESTER,MASSACHUSETTS
170,MONO COUNTY,MONO,CALIFORNIA
171,MONROE COUNTY,MONROE,FLORIDA
172,MORGAN COUNTY,MORGAN,WEST VIRGINIA
173,NORFOLK COUNTY,CANTON,MASSACHUSETTS
174,NORFOLK COUNTY,FRANKLIN,MASSACHUSETTS
175,NORFOLK COUNTY,RANDOLPH,MASSACHUSETTS
176,OKALOOSA COUNTY,OKALOOSA,FLORIDA
177,OKEECHOBEE COUNTY,OKEECHOBEE,FLORIDA
178,ONEIDA COUNTY,ONEIDA,IDAHO
179,PASCO COUNTY,PASCO,FLORIDA
180,PAYETTE COUNTY,PAYETTE,IDAHO
181,PENDLETON COUNTY,PENDLETON,WEST VIRGINIA
183,PIMA COUNTY,PIMA,ARIZONA
184,PLEASANTS COUNTY,PLEASANTS,WEST VIRGINIA
185,PLUMAS COUNTY,PLUMAS,CALIFORNIA
186,POCAHONTAS COUNTY,POCAHONTAS,WEST VIRGINIA
187,POWER COUNTY,POWER,IDAHO
188,PRESTON COUNTY,PRESTON,WEST VIRGINIA
189,PULASKI COUNTY,PULASKI COUNTY,ARKANSAS
190,PUTNAM COUNTY,PUTNAM,FLORIDA
191,RALEIGH COUNTY,RALEIGH,WEST VIRGINIA
192,RITCHIE COUNTY,RITCHIE,WEST VIRGINIA
193,ROANE COUNTY,ROANE,WEST VIRGINIA
195,SANTA ROSA COUNTY,SANTA ROSA,FLORIDA
196,SEMINOLE COUNTY,SEMINOLE,FLORIDA
197,SIERRA COUNTY,SIERRA,CALIFORNIA
199,ST. LUCIE COUNTY,ST. LUCIE,FLORIDA
200,SUTTER COUNTY,SUTTER,CALIFORNIA
201,SUWANNEE COUNTY,SUWANNEE,FLORIDA
202,TAYLOR COUNTY,TAYLOR,FLORIDA
203,TAYLOR COUNTY,TAYLOR,WEST VIRGINIA
204,TETON COUNTY,TETON,IDAHO
206,TYLER COUNTY,TYLER,WEST VIRGINIA
208,UPSHUR COUNTY,UPSHUR,WEST VIRGINIA
209,WAKULLA COUNTY,WAKULLA,FLORIDA
210,WALLOWA COUNTY,WALLOWA,OREGON
